epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.5181,1.40685,1.48914,1.43095,0.6305,0.60514,0.65003,0.45677,0.93136,0.96605,1.171,0.0801565,6.91539e-05,6.91539e-05
2,161.9,1.33179,1.41731,1.39415,0.59673,0.50636,0.55799,0.37661,0.95893,1.13845,1.18028,0.0602232,0.000135839,0.000135839
3,238.853,1.32496,1.36493,1.383,0.66455,0.61309,0.65271,0.46782,0.91497,0.99339,1.13664,0.0402871,0.000199747,0.000199747
4,315.54,1.31358,1.36711,1.37697,0.57287,0.61561,0.60825,0.4237,0.85735,0.99537,1.12336,0.0203482,0.000260877,0.000260877
5,391.6,1.30023,1.32784,1.36302,0.68431,0.64066,0.70395,0.51013,0.82801,0.85182,1.09466,0.000406565,0.000319229,0.000319229
6,468.571,1.30079,1.34287,1.37428,0.66676,0.62807,0.67208,0.47602,0.86396,0.89257,1.1154,0.000312563,0.000312563,0.000312563
7,544.486,1.28521,1.29299,1.34582,0.66729,0.64389,0.67938,0.48562,0.83488,0.89091,1.09898,0.000305619,0.000305619,0.000305619
8,620.454,1.26785,1.27595,1.34455,0.66098,0.6278,0.69107,0.49656,0.82944,0.8679,1.09594,0.000298674,0.000298674,0.000298674
9,696.385,1.25158,1.2437,1.33925,0.67441,0.67202,0.70298,0.51376,0.80943,0.83811,1.09648,0.00029173,0.00029173,0.00029173
10,772.832,1.21881,1.19462,1.30951,0.69257,0.6704,0.716,0.52794,0.80277,0.83307,1.08871,0.000284785,0.000284785,0.000284785
11,849.1,1.21475,1.19619,1.31719,0.70748,0.65429,0.68439,0.49202,0.8189,0.84603,1.0833,0.000277841,0.000277841,0.000277841
12,925.175,1.21684,1.17704,1.30996,0.66876,0.65997,0.68281,0.50521,0.78706,0.83606,1.07784,0.000270896,0.000270896,0.000270896
13,1001.15,1.19569,1.15356,1.29481,0.68224,0.64866,0.70726,0.52073,0.82616,0.83591,1.08378,0.000263952,0.000263952,0.000263952
14,1077.16,1.17184,1.12477,1.28702,0.72216,0.6773,0.72195,0.53326,0.79557,0.79914,1.08276,0.000257007,0.000257007,0.000257007
15,1153.41,1.19453,1.13964,1.29103,0.72183,0.66958,0.71154,0.52242,0.8176,0.77457,1.0981,0.000250063,0.000250063,0.000250063
16,1229.43,1.17237,1.08213,1.26308,0.7396,0.68667,0.73571,0.55528,0.7904,0.77182,1.06437,0.000243118,0.000243118,0.000243118
17,1305.71,1.15952,1.06977,1.26372,0.68518,0.69403,0.71659,0.52674,0.791,0.79575,1.0695,0.000236173,0.000236173,0.000236173
18,1381.67,1.14291,1.06809,1.26477,0.72271,0.65253,0.70519,0.51608,0.79702,0.8071,1.07056,0.000229229,0.000229229,0.000229229
19,1457.69,1.14257,1.05418,1.26107,0.7676,0.67008,0.73646,0.54133,0.7931,0.76379,1.0742,0.000222284,0.000222284,0.000222284
20,1533.75,1.1331,1.03416,1.25632,0.71171,0.6652,0.71727,0.53226,0.77403,0.75836,1.06185,0.00021534,0.00021534,0.00021534
21,1609.79,1.12815,1.02766,1.24222,0.74758,0.63303,0.71512,0.53341,0.7785,0.75748,1.05907,0.000208395,0.000208395,0.000208395
22,1685.81,1.12727,1.00572,1.23318,0.75759,0.69304,0.74437,0.546,0.76574,0.74078,1.05747,0.000201451,0.000201451,0.000201451
23,1761.84,1.11488,0.99902,1.22662,0.74846,0.6835,0.7411,0.55507,0.76868,0.74857,1.06037,0.000194506,0.000194506,0.000194506
24,1838.23,1.11659,0.98696,1.22764,0.74336,0.69184,0.73777,0.54995,0.77925,0.76446,1.05885,0.000187562,0.000187562,0.000187562
25,1914.31,1.09602,0.96908,1.21985,0.72635,0.68664,0.74661,0.56359,0.76856,0.73272,1.05501,0.000180617,0.000180617,0.000180617
26,1990.55,1.09348,0.9727,1.22384,0.78752,0.67468,0.75651,0.57006,0.7751,0.72663,1.05533,0.000173673,0.000173673,0.000173673
27,2066.8,1.07382,0.93425,1.20093,0.72305,0.68581,0.74362,0.55797,0.77083,0.76911,1.05358,0.000166728,0.000166728,0.000166728
28,2142.98,1.07497,0.94134,1.21166,0.76398,0.64602,0.73629,0.56165,0.749,0.73689,1.04743,0.000159783,0.000159783,0.000159783
29,2218.9,1.07002,0.9332,1.20448,0.73695,0.67968,0.74098,0.56085,0.75204,0.7418,1.04784,0.000152839,0.000152839,0.000152839
30,2294.88,1.06809,0.9252,1.20122,0.76886,0.66408,0.75279,0.57039,0.74241,0.71205,1.04487,0.000145894,0.000145894,0.000145894
31,2370.88,1.05375,0.90731,1.19714,0.70825,0.71362,0.74259,0.5592,0.73697,0.72763,1.04437,0.00013895,0.00013895,0.00013895
32,2447.08,1.03533,0.90103,1.19223,0.74878,0.67955,0.7507,0.56864,0.72852,0.732,1.03156,0.000132005,0.000132005,0.000132005
33,2523.25,1.03736,0.88941,1.18562,0.71331,0.72614,0.76419,0.58109,0.74132,0.70678,1.03491,0.000125061,0.000125061,0.000125061
34,2599.47,1.02887,0.87067,1.17419,0.77942,0.66209,0.76751,0.58133,0.73607,0.71596,1.03357,0.000118116,0.000118116,0.000118116
35,2675.66,1.03989,0.87828,1.18433,0.75433,0.69358,0.76784,0.58771,0.74224,0.71064,1.03646,0.000111172,0.000111172,0.000111172
36,2751.95,1.02648,0.8584,1.17654,0.76385,0.69359,0.77474,0.59309,0.73521,0.70754,1.03845,0.000104227,0.000104227,0.000104227
37,2828.33,1.02384,0.85057,1.17504,0.71598,0.73118,0.7631,0.5814,0.74521,0.71791,1.04066,9.72826e-05,9.72826e-05,9.72826e-05
38,2904.29,1.00989,0.84132,1.16604,0.7497,0.69998,0.75881,0.582,0.73766,0.7168,1.03544,9.03381e-05,9.03381e-05,9.03381e-05
39,2980.3,1.0069,0.82485,1.15995,0.77179,0.70684,0.76938,0.59123,0.7274,0.68813,1.03574,8.33935e-05,8.33935e-05,8.33935e-05
40,3056.25,0.98985,0.81576,1.15636,0.79394,0.67541,0.76355,0.58561,0.73005,0.71687,1.03506,7.6449e-05,7.6449e-05,7.6449e-05
41,3132.97,0.75233,0.51155,1.00708,0.78516,0.6687,0.77072,0.5959,0.71232,0.71618,1.02333,6.95045e-05,6.95045e-05,6.95045e-05
42,3208.64,0.73189,0.47999,0.99213,0.75278,0.68978,0.75998,0.58474,0.70652,0.71244,1.01908,6.25599e-05,6.25599e-05,6.25599e-05
43,3284.03,0.72067,0.46619,0.98401,0.75561,0.69789,0.76428,0.59505,0.70442,0.71073,1.01833,5.56154e-05,5.56154e-05,5.56154e-05
44,3359.41,0.71598,0.46759,0.98563,0.79388,0.67819,0.76491,0.5934,0.70603,0.71404,1.02048,4.86708e-05,4.86708e-05,4.86708e-05
45,3434.77,0.70472,0.45206,0.97823,0.74568,0.69153,0.7563,0.59502,0.6989,0.726,1.01877,4.17263e-05,4.17263e-05,4.17263e-05
46,3510.18,0.69408,0.43687,0.97011,0.75772,0.70369,0.76052,0.59347,0.69314,0.73023,1.01411,3.47817e-05,3.47817e-05,3.47817e-05
47,3585.49,0.68756,0.42654,0.96776,0.75332,0.69997,0.76535,0.59565,0.70098,0.7338,1.01812,2.78372e-05,2.78372e-05,2.78372e-05
48,3660.92,0.67497,0.41777,0.95928,0.74967,0.70603,0.76466,0.59868,0.69784,0.73229,1.01729,2.08927e-05,2.08927e-05,2.08927e-05
49,3737.42,0.6782,0.42037,0.96005,0.76007,0.69628,0.76829,0.60341,0.68834,0.71935,1.01407,1.39481e-05,1.39481e-05,1.39481e-05
50,3813.16,0.66683,0.41032,0.95543,0.77217,0.69222,0.76758,0.60117,0.69196,0.73089,1.0148,7.00359e-06,7.00359e-06,7.00359e-06
1,32.2809,1.36306,1.37384,1.33535,0.5979,0.58953,0.60836,0.419,1.00566,1.10235,1.15642,0.0753399,0.000122529,0.000122529
2,60.7003,1.38438,1.41164,1.36523,0.50121,0.51542,0.51063,0.33787,1.02121,1.34633,1.18906,0.0504611,0.000243673,0.000243673
3,87.9691,1.36935,1.39515,1.36343,0.5656,0.5605,0.56785,0.37694,1.00398,1.12107,1.16312,0.0255797,0.000362344,0.000362344
4,115.567,1.37599,1.39666,1.35962,0.64279,0.52577,0.59548,0.40601,0.97784,1.02976,1.13714,0.000695935,0.000478544,0.000478544
5,142.907,1.38006,1.41033,1.36556,0.58284,0.57721,0.59384,0.41181,0.91949,1.04202,1.13298,0.000474643,0.000474643,0.000474643
6,170.386,1.35868,1.37046,1.34682,0.60824,0.61648,0.60098,0.41706,0.91762,0.99317,1.11462,0.000469699,0.000469699,0.000469699
7,197.693,1.3274,1.32171,1.32566,0.60099,0.65583,0.65489,0.45944,0.9029,0.95202,1.0991,0.000464755,0.000464755,0.000464755
8,225.376,1.32278,1.33371,1.33406,0.59496,0.6204,0.65456,0.45814,0.91651,0.94966,1.10553,0.000459812,0.000459812,0.000459812
9,252.883,1.31173,1.29628,1.32644,0.61098,0.64499,0.65161,0.46419,0.91819,0.93012,1.09759,0.000454868,0.000454868,0.000454868
10,280.627,1.29143,1.26043,1.30846,0.67655,0.64339,0.674,0.45967,0.93721,0.89759,1.111,0.000449925,0.000449925,0.000449925
11,312.818,1.27134,1.23963,1.30011,0.65005,0.6744,0.67374,0.48217,0.8741,0.87286,1.07007,0.000444981,0.000444981,0.000444981
12,340.456,1.26482,1.21725,1.2932,0.65347,0.60388,0.66273,0.46688,0.88142,0.87527,1.08934,0.000440037,0.000440037,0.000440037
