epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.38934,1.09971,1.2592,1.2245,0.81082,0.66772,0.77223,0.59852,0.93065,0.7699,1.03262,8.33e-06,8.33e-06,8.33e-06
2,12.3791,1.06192,1.0636,1.1625,0.80171,0.7032,0.78738,0.6129,0.91173,0.74192,1.01932,1.74966e-05,1.74966e-05,1.74966e-05
3,16.3782,1.03432,0.96973,1.19248,0.80307,0.70923,0.78998,0.61436,0.90141,0.7244,1.01357,2.62861e-05,2.62861e-05,2.62861e-05
4,20.4527,1.01054,0.95429,1.12398,0.80189,0.72256,0.79883,0.62589,0.88986,0.70689,1.00538,3.46987e-05,3.46987e-05,3.46987e-05
5,24.4059,0.99683,0.91963,1.13512,0.79681,0.74164,0.80848,0.63249,0.87866,0.69453,0.99741,4.27343e-05,4.27343e-05,4.27343e-05
6,28.4374,1.01798,0.92711,1.12189,0.80568,0.75437,0.81706,0.64066,0.86723,0.67898,0.99325,5.03929e-05,5.03929e-05,5.03929e-05
7,32.3794,0.97054,0.85098,1.11024,0.80195,0.75783,0.82318,0.65308,0.85344,0.66956,0.9883,5.76745e-05,5.76745e-05,5.76745e-05
8,36.747,0.97102,0.82515,1.11684,0.80881,0.76282,0.83146,0.66057,0.84028,0.65112,0.98145,6.45792e-05,6.45792e-05,6.45792e-05
9,40.6709,0.94284,0.83419,1.11109,0.82194,0.76415,0.83924,0.66569,0.83205,0.62772,0.97866,7.11068e-05,7.11068e-05,7.11068e-05
10,44.5873,0.93773,0.81174,1.10698,0.8354,0.75727,0.84429,0.67268,0.82747,0.6178,0.97742,7.72574e-05,7.72574e-05,7.72574e-05
11,48.5172,0.91708,0.77558,1.07746,0.84847,0.78684,0.85137,0.68091,0.81169,0.60335,0.96763,8.30311e-05,8.30311e-05,8.30311e-05
12,52.5123,0.92639,0.75385,1.06724,0.86056,0.79571,0.86583,0.69242,0.80564,0.59183,0.96426,8.84277e-05,8.84277e-05,8.84277e-05
13,56.4851,0.91653,0.74885,1.07728,0.8782,0.79834,0.87289,0.70318,0.79456,0.57554,0.95603,9.07256e-05,9.07256e-05,9.07256e-05
14,60.4685,0.88777,0.7451,1.06672,0.87931,0.79725,0.87439,0.71269,0.78294,0.55877,0.95101,8.83694e-05,8.83694e-05,8.83694e-05
15,64.4433,0.86774,0.68351,1.05435,0.90883,0.77978,0.87866,0.71783,0.77001,0.54065,0.94476,8.60132e-05,8.60132e-05,8.60132e-05
16,68.3454,0.8614,0.71979,1.05138,0.87337,0.80873,0.88544,0.72685,0.76258,0.52993,0.94138,8.3657e-05,8.3657e-05,8.3657e-05
17,72.2898,0.8415,0.6698,1.03941,0.88921,0.82355,0.88944,0.73275,0.75241,0.5228,0.93585,8.13008e-05,8.13008e-05,8.13008e-05
18,76.2183,0.87644,0.71764,1.06734,0.91179,0.81921,0.89168,0.73373,0.74761,0.5161,0.9331,7.89446e-05,7.89446e-05,7.89446e-05
19,80.2488,0.84111,0.66057,1.03575,0.92711,0.81204,0.89427,0.7381,0.74399,0.50966,0.93195,7.65884e-05,7.65884e-05,7.65884e-05
20,84.229,0.8379,0.64037,1.02919,0.928,0.81248,0.89379,0.74232,0.73897,0.50166,0.92946,7.42322e-05,7.42322e-05,7.42322e-05
21,88.1181,0.82597,0.65751,1.03934,0.92839,0.81656,0.89542,0.74735,0.73273,0.49222,0.92702,7.1876e-05,7.1876e-05,7.1876e-05
22,92.027,0.87532,0.65943,1.05215,0.92913,0.81615,0.89652,0.74792,0.72688,0.48626,0.92589,6.95198e-05,6.95198e-05,6.95198e-05
23,95.9517,0.87162,0.69504,1.05861,0.90475,0.82894,0.8977,0.75016,0.72004,0.48147,0.92334,6.71636e-05,6.71636e-05,6.71636e-05
24,99.9141,0.76278,0.59229,1.01439,0.9116,0.83821,0.89895,0.75837,0.71297,0.47517,0.9209,6.48074e-05,6.48074e-05,6.48074e-05
25,103.825,0.82329,0.6417,1.03054,0.90405,0.85581,0.9015,0.76281,0.70788,0.47291,0.91796,6.24512e-05,6.24512e-05,6.24512e-05
26,107.803,0.84112,0.64779,1.03462,0.87828,0.87649,0.90602,0.76137,0.70153,0.47166,0.91504,6.0095e-05,6.0095e-05,6.0095e-05
27,111.633,0.79836,0.59405,1.01879,0.8773,0.87252,0.90465,0.76658,0.69495,0.46827,0.91244,5.77388e-05,5.77388e-05,5.77388e-05
28,115.569,0.78865,0.61641,1.02595,0.88358,0.86128,0.9079,0.77031,0.68942,0.46494,0.90967,5.53826e-05,5.53826e-05,5.53826e-05
29,119.507,0.7979,0.60951,1.00433,0.90152,0.85795,0.90943,0.77061,0.68604,0.46233,0.90813,5.30264e-05,5.30264e-05,5.30264e-05
30,123.418,0.7558,0.58856,1.00014,0.91789,0.85175,0.90754,0.77039,0.68296,0.45961,0.9063,5.06702e-05,5.06702e-05,5.06702e-05
31,127.697,0.77525,0.60323,1.00243,0.9204,0.85092,0.90955,0.77536,0.67975,0.45843,0.90489,4.8314e-05,4.8314e-05,4.8314e-05
32,131.619,0.81345,0.60348,1.00739,0.92295,0.84927,0.90993,0.77403,0.67703,0.45716,0.90362,4.59578e-05,4.59578e-05,4.59578e-05
33,135.447,0.70291,0.54471,0.98877,0.9283,0.84727,0.90841,0.77632,0.67245,0.45519,0.90263,4.36016e-05,4.36016e-05,4.36016e-05
34,139.377,0.78507,0.59263,0.99563,0.92879,0.84807,0.91267,0.77935,0.66795,0.45226,0.90087,4.12454e-05,4.12454e-05,4.12454e-05
35,143.303,0.73815,0.56502,0.99149,0.92345,0.84925,0.91367,0.77822,0.6659,0.44863,0.89932,3.88892e-05,3.88892e-05,3.88892e-05
